"time","v","y","der(v)","der(y)","count"
0.53,2.330759781044828,0.213117159178542,-9.810000000000001,2.330759781044828,1
0.535,2.281709781044828,0.2246483330652591,-9.810000000000001,2.281709781044828,1
0.54,2.232659781044828,0.2359342569535787,-9.810000000000001,2.232659781044828,1
0.545,2.183609781044828,0.2469749308435008,-9.810000000000001,2.183609781044828,1
0.55,2.134559781044828,0.2577703547350252,-9.810000000000001,2.134559781044828,1
0.5550000000000001,2.085509781044828,0.2683205286281522,-9.810000000000001,2.085509781044828,1
0.5600000000000001,2.036459781044828,0.2786254525228816,-9.810000000000001,2.036459781044828,1
0.565,1.987409781044829,0.2886851264192132,-9.810000000000001,1.987409781044829,1
0.57,1.938359781044828,0.298499550310887,-9.810000000000001,1.938359781044828,1
0.575,1.889309781044828,0.3080687242025034,-9.810000000000001,1.889309781044828,1
0.58,1.840259781044828,0.317392648094608,-9.810000000000001,1.840259781044828,1
0.585,1.791209781044828,0.326471321987201,-9.810000000000001,1.791209781044828,1
0.59,1.742159781044828,0.3353047458802823,-9.810000000000001,1.742159781044828,1
0.595,1.693109781044828,0.3438929197738518,-9.810000000000001,1.693109781044828,1
0.6,1.644059781044828,0.3522358436679097,-9.810000000000001,1.644059781044828,1
0.605,1.595009781044828,0.360333517562456,-9.810000000000001,1.595009781044828,1
0.61,1.545959781044828,0.3681859414574905,-9.810000000000001,1.545959781044828,1
0.615,1.496909781044828,0.3757931153530134,-9.810000000000001,1.496909781044828,1
0.62,1.447859781044828,0.3831550392490245,-9.810000000000001,1.447859781044828,1
0.625,1.398809781044828,0.390271713145524,-9.810000000000001,1.398809781044828,1
0.63,1.349759781044828,0.3971431370425118,-9.810000000000001,1.349759781044828,1
0.635,1.300709781044828,0.4037693109399879,-9.810000000000001,1.300709781044828,1
0.64,1.251659781044828,0.4101502348379522,-9.810000000000001,1.251659781044828,1
0.645,1.202609781044828,0.416285908736405,-9.810000000000001,1.202609781044828,1
0.65,1.153559781044828,0.422176332635346,-9.810000000000001,1.153559781044828,1
0.655,1.104509781044828,0.4278215065347754,-9.810000000000001,1.104509781044828,1
0.66,1.055459781044828,0.433221430434693,-9.810000000000001,1.055459781044828,1
0.665,1.006409781044828,0.4383761043350991,-9.810000000000001,1.006409781044828,1
0.67,0.9573597810448276,0.4432855282359933,-9.810000000000001,0.9573597810448276,1
0.675,0.9083097810448275,0.447949702137376,-9.810000000000001,0.9083097810448275,1
0.6800000000000001,0.8592597810448277,0.4523686260386894,-9.810000000000001,0.8592597810448277,1
0.6850000000000001,0.8102097810448277,0.4565422999365745,-9.810000000000001,0.8102097810448277,1
0.69,0.7611597810448287,0.4604707238345757,-9.810000000000001,0.7611597810448287,1
0.695,0.7121097810448287,0.4641538977326931,-9.810000000000001,0.7121097810448287,1
